ST,Flavour,Model Folder Name,Item/UI Folder Name,Online Persistence Tag Name,Model Folder Parts,DA_OI Parts,Merged with,Warning
ID_APOLLO_NAME,Apollo,,,,,,,
ID_CELESTE_NAME,Celeste,Celeste,,,"Gloves, Jacket, LowerBody, UpperBody",,,
ID_JUANITO_NAME,Juanito,Juanito,,,"Cape, Hood, Mask, Scarf, Visor",,,
ID_LANCE_NAME,Lance,,,,,,,
ID_SHANI_NAME,Shani,Shani,,,"Camera, Fez, Glasses, Headset, Helmet, Jacket, LowerBody, UpperBody, Visor",,,
ID_TIANWEN_NAME,Tian Wen,,,,,,,
ID_PLAYERSKIN_ABYSS,Abyss,Abyss,Abyss,Abyss,"Airbag, Airtube, Chesttech, Cylinder, Flipper, Helmet, Helmetmask, Lowerbody, Upperbody","Abyss: Airbag, Airtube, Chesttech, Cylinder, Flipper, Helmet, Helmetmask, Lowerbody, Upperbody",,
ID_PLAYERSKIN_AGILEASTRONAUT,Astrolite,AgileAstronaut,AgileAstronaut,Agile_Astronaut,"Bags, Gloves, Harness, Helmet, Jacket, Shoes, Suit","AgileAstronaut: Bags, Gloves, Harness, Helmet, Jacket, Shoes, Suit",,
ID_PLAYERSKIN_ANGLER,Castaway,Angler,Angler; Vest,Angler; Vest,"Belt, BeltBag, Boots, Coat, Device, DevicePocket, Gauntlet, Gloves, Hat, Helmet, Net, Pants, PantsUpper, Radio, Ropes, Sweater, Visor","Angler: Belt, BeltBag, Boots, Coat, Device, DevicePocket, Gauntlet, Gloves, Hat, Helmet, Net, Pants, PantsUpper, Radio, Ropes, Sweater, Visor",Angler (ID_PLAYERSKIN_VESTOUTFIT) - Flavour/ST-suffix matched Model Folder Name,
ID_PLAYERSKIN_ANTLERSHAMAN,Bonecrown,AntlerShaman,AntlerShaman,AntlerShaman,"Accessories, HeadBand, Headset, Hood, HoodDown, Horns, Knife, Lowerbody, Pauldron, PonchoFringe, Upperbody","AntlerShaman: Accessories, HeadBand, Headset, Hood, HoodDown, Horns, Knife, LowerBody, Pauldron, PonchoFringe, UpperBody",,
ID_PLAYERSKIN_WASPHUNTER,Wasp Hunter,ArcCore,ArcCore,ArcCore,"Facemask, Gloves, HelmetEye, HelmetInnerShell, HelmetShell, Lowerbody, Pauldron, Satchel, ShoulderTech, Sleeves, Torso","ArcCore: Facemask, Gloves, HelmetEye, HelmetInnerShell, HelmetShell, Lowerbody, Pauldron, Satchel, ShoulderTech, Sleeves, Torso",,
ID_PLAYERSKIN_ABANDONEDASTRONAUT,Cosmo,Astronaut,AbandonedAstronaut,AbandonedAstronaut,"ClipPouch, Harness, OverallBottom, OverallTop, Scanner, SealedGloves, ShoulderPads, SoftCap","AbandonedAstronaut: ClipPouch, Harness, OverallBottom, OverallTop, Scanner, SealedGloves, ShoulderPads, SoftCap",,
ID_PLAYERSKIN_AVIATOR,Fiero,Aviator,Aviator,Aviator,"Boots, Camera, Goggles, Jacket, Pants, Scarf, TechDevice","Aviator: Boots, Camera, Goggles, Jacket, Pants, Cap[CasualPilot]",,
ID_PLAYERSKIN_BATTER,Slugger,Batter,Sport,,"Bodyarmor, Bodycam, Cablebox, Gloves, Grenades, Helmet, Kneeguard, Lowerbody, Upperbody","Sport: Bodyarmor, Bodycam, Cablebox, Gloves, Grenades, Helmet, Kneeguard, Lowerbody, Upperbody",,"CONFLICT: Item/UI Folder Name 'Sport' is also claimed by: 'Sport' - source: 'Sport' (DA_OI_Outfit_Sport.json): references model(s) Batter (via DA_VP_Batter_Bodyarmor, DA_VP_Batter_Bodycam, DA_VP_Batter_Cablebox, DA_VP_Batter_Gloves, DA_VP_Batter_Grenades, DA_VP_Batter_Helmet, DA_VP_Batter_Kneeguard, DA_VP_Batter_Lowerbody, DA_VP_Batter_Upperbody) - verify this isn't a parsing mistake or an intentional shared/recolor model."
ID_PLAYERSKIN_BEEKEEPER,Boonie,Beekeeper,Beekeeper,Beekeeper,"BoonieHat, Cape, LowerBody, Mask, UpperBody, WaterTube","Beekeeper: BoonieHat, Cape, Lowerbody, Mask, Upperbody, WaterTube",,
ID_PLAYERSKIN_BOMBER,Striker,Bomber,Bomber,Bomber,"Bag, ElbowGuard, Helmet, HelmetPadding, HelmetTech, LowerBody, Mask, UpperBody","Bomber: Bag, ElbowGuard, Helmet, HelmetPadding, HelmetTech, Lowerbody, Mask, Upperbody",,
ID_PLAYERSKIN_CASUALPILOT,Aviator,CasualPilot,CasualPilot,CasualPilot,"Cap, Gloves, Headphones, LowerBody, Radio, UpperBody",,,
ID_PLAYERSKIN_COSMONAUT,Luna,Cosmonaut,Cosmonaut,Cosmonaut,"Chestbox, Helmet, Lowerbody, Sidebox, Straps, Upperbody","Cosmonaut: Chestbox, Helmet, Lowerbody, Sidebox, Straps, Upperbody",,
ID_PLAYERSKIN_DASHWOOD,Sandveil,Dashwood,Dashwood,Dashwood,"Bag, Boots, Gloves, Harness, Helmet, Holster, Jacket, Mask, Pants, Scarf","Dashwood: Bag, Boots, Gloves, Harness, Helmet, Holster, Jacket, Mask, Pants, Scarf",,
ID_PLAYERSKIN_DEEPSEADIVER,Leviathan,Deep_Sea_Diver,DeepSeaDiver,DeepSeaDiver,"HarnessExtras, OldHelmet, Tanks, Tubes","DeepSeaDiver: Harness[Astronaut], OverallBottom[Astronaut], OverallTop[Astronaut], SealedGloves[Astronaut], HarnessExtras, OldHelmet, Tanks, Tubes",,
ID_PLAYERSKIN_DRAFTY,Alpino,Drafty,Drafty,Drafty,"Beanie, ChestBag, Goggles, Jacket, LegRadio, Lowerbody","Drafty: Beanie, ChestBag, Goggles, Jacket, LegRadio, Lowerbody",,
ID_PLAYERSKIN_DRIFTCOAT,Driftcoat,Driftcoat,Driftcoat,Driftcoat,"Airbox, Boots, Helmet, InnerSleeves, Jacket, JacketSleeves, Pants, Pipe, Upperbody, Visor","Driftcoat: Airbox, Boots, Helmet, InnerSleeves, Jacket, JacketSleeves, Pants, Pipe, Upperbody, Visor",,
ID_PLAYERSKIN_DWELLER,Dweller,Dweller,Dweller,Dweller,"Armguard, Armor, Bag, Gloves, Goggles, Harness, HoodieFur, Lowerbody, Mask, RobotArm, Sleeves, SleevesFur, Upperbody, Visor","Dweller: Armguard, Armor, Bag, Gloves, Goggles, Harness, HoodieFur, Lowerbody, Mask, RobotArm, Sleeves, SleevesFur, Upperbody, Visor",,
ID_PLAYERSKIN_ENFORCER,Sforza,Enforcer,Enforcer,Enforcer,"Accessories, Body, Boots, Cape, Goggles, Helmet, LeftItems, Mask","Enforcer: Accessories, Body, Boots, Cape, Goggles, Helmet, LeftItems, Mask",,
